,Year,NAME,House_Price,Unit_Price,Flat_rent,House_rent,House_rate,Unit_rate
250,2009,ELTHAM,522000.0,401500.0,187.0,277.0,36.23993335184671,41.289592760180994
251,2009,ELTHAM NORTH,496500.0,,,,,
252,2009,ELWOOD,1120000.0,467500.0,276.0,483.0,44.593088071348944,32.57385730211817
253,2009,EMERALD,372500.0,,,,,
254,2009,ENDEAVOUR HILLS,356000.0,347000.0,180.0,241.0,28.407277369932974,37.072649572649574
255,2009,EPPING,343000.0,315000.0,181.0,277.0,23.81282976950847,33.467913302167446
256,2009,EPSOM,260000.0,215000.0,,,,
257,2009,ESSENDON,790000.0,415000.0,220.0,310.0,49.007444168734494,36.27622377622377
258,2009,ESSENDON NORTH,651000.0,408000.0,,,,
259,2009,ESSENDON WEST,680000.0,,,,,
260,2009,EUMEMMERRING,320000.0,235000.0,,,,
261,2009,EUREKA,241000.0,,,,,
262,2009,EUROA,175000.0,155000.0,,,,
263,2009,EYNESBURY,525000.0,,,,,
264,2009,FAIRFIELD,677500.0,362000.0,232.0,378.0,34.46784696784697,30.00663129973475
265,2009,FAIRHAVEN,725000.0,,,,,
266,2009,FAWKNER,385000.0,325000.0,195.0,278.0,26.632540121748754,32.05128205128205
267,2009,FERNTREE GULLY,380000.0,329000.0,186.0,252.0,28.998778998779,34.01571546732837
268,2009,FERNY CREEK,475000.0,,,,,
269,2009,FINGAL,520000.0,,,,,
270,2009,FITZROY,780000.0,539000.0,275.0,462.0,32.46753246753247,37.69230769230769
271,2009,FITZROY NORTH,740000.0,492500.0,248.0,425.0,33.484162895927604,38.1901364764268
272,2009,CRANBOURNE SOUTH,320000.0,,,,,
273,2009,FLEMINGTON,580500.0,308500.0,271.0,368.0,30.33549331103679,21.891853533919953
274,2009,FLINDERS,655000.0,,152.0,222.0,56.73943173943174,
275,2009,FLORA HILL,225000.0,200500.0,127.0,207.0,20.90301003344482,30.360387643852214
276,2009,FLOWERDALE,234500.0,,,,,
277,2009,FOOTSCRAY,505000.0,360000.0,195.0,313.0,31.027279429835342,35.50295857988166
278,2009,FOREST HILL,503000.0,467000.0,107.0,297.0,32.56928256928257,83.93242271746945
279,2009,FOSTER,222000.0,180000.0,,,,
280,2009,FRANKSTON,315000.0,240000.0,165.0,240.0,25.240384615384617,27.97202797202797
281,2009,FRANKSTON NORTH,237000.0,255000.0,,,,
282,2009,FRANKSTON SOUTH,453000.0,355000.0,,,,
283,2009,FRASER RISE,0.0,,,,,
284,2009,FYANSFORD,0.0,,,,,
285,2009,GARDEN CITY,900000.0,,,,,
286,2009,GARDENVALE,825000.0,322500.0,,,,
287,2009,GARFIELD,275000.0,,,,,
288,2009,GEELONG,390000.0,332500.0,160.0,238.0,31.512605042016805,39.96394230769231
